T;alpha
567.099;1.65576620578366E-5
567.199;2.62974632688172E-5
567.299;3.4089304237048E-5
567.399;4.28551253266538E-5
567.499;5.06469662948846E-5
567.599;5.84388072644996E-5
567.699;6.72046283541053E-5
567.799;7.49964693223362E-5
567.899;8.2788310290567E-5
567.999;9.15541313801728E-5
568.099;9.93459723484036E-5
568.199;1.07137813316634E-4
568.299;1.1590363440624E-4
568.399;1.23695475375855E-4
568.499;1.32461296465461E-4
568.599;1.40253137433692E-4
568.699;1.48044978401923E-4
568.799;1.56810799491528E-4
568.899;1.64602640459759E-4
568.999;1.7629040191349E-4
569.099;1.92848063971326E-4
569.199;2.09405726029163E-4
569.299;2.24989407965624E-4
569.399;2.41547070024845E-4
569.499;2.58104732082682E-4
569.599;2.73688414019143E-4
569.699;2.9024607607698E-4
569.799;3.06803738136201E-4
569.899;3.23361400194037E-4
569.999;3.38945082130499E-4
570.099;3.55502744188336E-4
570.199;3.71086426126181E-4
570.299;3.87644088184018E-4
570.399;4.11019611090095E-4
570.499;4.35369114116162E-4
570.599;4.59718617143614E-4
570.699;4.84068120169681E-4
570.799;5.08417623195748E-4
570.899;5.327671262232E-4
570.999;5.57116629249267E-4
571.099;5.81466132276719E-4
571.199;6.05815635302786E-4
571.299;6.30165138328854E-4
571.399;6.54514641356305E-4
571.499;6.79838124503748E-4
571.599;7.04187627531199E-4
571.699;7.28537130557267E-4
571.799;7.52886633583334E-4
571.899;7.77236136610786E-4
571.999;8.01585639636853E-4
572.099;8.25935142664305E-4
572.199;8.50284645690372E-4
572.299;8.74634148716439E-4
572.399;8.98983651743891E-4
572.499;9.23333154769959E-4
572.599;9.4768265779741E-4
572.699;9.72032160823478E-4
572.799;9.96381663850929E-4
572.899;0.001020731166877
572.999;0.00104508066990306
